state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
wa,2011-2012,lower,HB 1635,Concerning the administration of exams and renewals for drivers' licenses.,2011-02-25 17:48:56.742000,2012-11-02 06:44:25.167000,bill,Transportation
wa,2011-2012,lower,HB 1636,Concerning services performed by amateur sports officials.,2011-02-25 17:48:56.751000,2012-11-02 06:44:25.210000,bill,Labor and Employment|Recreation
wa,2011-2012,lower,HB 1637,Concerning maintenance inspections of on-site sewage systems.,2011-02-25 17:48:56.763000,2012-10-18 06:58:48.696000,bill,Environmental|Health
wa,2011-2012,lower,HB 1638,Modifying concealed pistol license provisions.,2011-02-25 17:48:56.766000,2012-11-02 06:44:25.324000,bill,Guns
wa,2011-2012,lower,HB 1639,Creating the clean energy partnership.,2011-02-25 17:48:56.768000,2012-11-02 06:44:25.320000,bill,Energy|Public Services
wa,2011-2012,lower,HB 1640,Concerning respiratory care practitioners.,2011-02-25 17:48:56.770000,2012-11-02 06:44:16.991000,bill,Health
wa,2011-2012,lower,HB 1641,Concerning domestic winery licensing.,2011-02-25 17:48:56.772000,2012-11-02 06:44:17.002000,bill,Other|Business and Consumers
wa,2011-2012,lower,HB 1642,Enhancing the production of Pacific salmon.,2011-02-25 17:48:56.774000,2012-10-18 06:58:37.256000,bill,Agriculture and Food|State Agencies|Animal Rights and Wildlife Issues
wa,2011-2012,lower,HB 1643,Regarding food refrigeration and freezing standards.,2011-02-25 17:48:56.776000,2012-11-02 06:44:17.008000,bill,Agriculture and Food|Health|Business and Consumers
wa,2011-2012,lower,HB 1644,"Placing restrictions on, and enforcing the restrictions on, making small loans.",2011-02-25 17:48:56.779000,2012-11-02 06:44:11.876000,bill,"Commerce|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1645,Transferring certification responsibilities for chemical dependency treatment programs from the department of social and health services to the department of health.,2011-02-25 17:48:56.782000,2012-11-02 06:44:11.881000,bill,Drugs|Health
wa,2011-2012,lower,HB 1646,Increasing penalties for vehicular homicide and vehicular assault.,2011-02-25 17:48:56.786000,2012-11-02 06:44:16.982000,bill,Transportation|Legal Issues|Crime
wa,2011-2012,lower,HB 1647,Aligning Washington's estate tax to the federal estate tax.,2011-02-25 17:48:56.789000,2012-10-18 06:58:37.219000,bill,"Housing and Property|Legal Issues|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1648,Adding certain requirements to provisions relating to driving or being in physical control of a vehicle while under the influence of intoxicating liquor or any drug.,2011-02-25 17:48:56.801000,2012-10-18 06:58:36.787000,bill,Transportation
wa,2011-2012,lower,HB 1649,Concerning reciprocity and statutory construction with regard to domestic partnerships.,2011-02-25 17:48:56.807000,2012-11-02 06:44:11.594000,bill,Other|Family and Children Issues
wa,2011-2012,lower,HB 1650,Changing state need grant eligibility provisions.,2011-02-25 17:48:56.834000,2012-11-02 06:44:03.183000,bill,Education
wa,2011-2012,lower,HB 1651,Providing transitional housing for persons at risk of experiencing homelessness.,2011-02-25 17:48:56.851000,2012-11-02 06:44:03.172000,bill,Housing and Property|Welfare and Poverty
wa,2011-2012,lower,HB 1652,Regarding electronic impersonation.,2011-02-25 17:48:56.856000,2012-11-02 06:44:03.156000,bill,Technology and Communication|Civil Liberties and Civil Rights
wa,2011-2012,lower,HB 1653,Concerning the establishment of department of health rules on fluoridation levels where fluoridation is practiced by public drinking water systems.,2011-02-25 17:48:56.859000,2012-10-18 06:58:25.359000,bill,Environmental|Health
wa,2011-2012,lower,HB 1654,Regarding tuition for excess credits at institutions of higher education.,2011-02-25 17:48:56.862000,2012-11-02 06:44:03.143000,bill,Education
wa,2011-2012,lower,HB 1655,Modifying the requirement to periodically replace license plates.,2011-02-25 17:48:56.865000,2012-10-18 06:58:25.334000,bill,State Agencies|Transportation
wa,2011-2012,lower,HB 1656,Declaring that the right to life begins at the moment the individual comes into being.,2011-02-25 17:48:56.871000,2012-10-18 06:58:25.328000,bill,Government Reform|Family and Children Issues
wa,2011-2012,lower,HB 1657,Removing the statute of limitations for certain sex offenses.,2011-02-25 17:48:56.874000,2012-11-02 06:44:03.109000,bill,Crime
wa,2011-2012,lower,HB 1658,Allowing county registrars to issue certificates of still birth upon the request of the mother or father.,2011-02-25 17:48:56.876000,2012-10-18 06:58:34.670000,bill,Other|Health|Municipal and County Issues
wa,2011-2012,lower,HB 1659,Addressing hospital benefit zones that have already formed.,2011-02-25 17:48:56.878000,2012-10-18 06:58:34.630000,bill,"State Agencies|Health|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1660,Authorizing multijurisdiction flood control zones.,2011-02-25 17:48:56.882000,2012-11-02 06:44:20.048000,bill,Environmental|Municipal and County Issues|Indigenous Peoples
wa,2011-2012,lower,HB 1661,Providing cost-saving measures and allocation of vouchers for low-income housing.,2011-02-25 17:48:56.884000,2012-11-02 06:44:20.052000,bill,Housing and Property|Labor and Employment
wa,2011-2012,lower,HB 1662,Addressing appeal and permit procedures under the shoreline management act.,2011-02-25 17:48:56.887000,2012-11-02 06:44:19.988000,bill,Environmental|State Agencies
wa,2011-2012,lower,HB 1663,Removing the requirement that institutions of higher education purchase from correctional industries.,2011-02-25 17:48:56.893000,2012-11-02 06:44:20.031000,bill,Education|Crime
wa,2011-2012,lower,HB 1664,"Transferring all mandatory, regulatory, licensing, and disciplinary functions of the Washington state bar association to the Washington state supreme court.",2011-02-25 17:48:56.897000,2012-10-18 06:58:42.415000,bill,Legal Issues
wa,2011-2012,lower,HB 1665,Establishing procedures for requesting the funds necessary to implement the compensation and fringe benefit provisions of bargaining agreements with the University of Washington under chapter 41.80 RCW.,2011-02-25 17:48:56.903000,2012-11-02 06:44:19.978000,bill,Labor and Employment|Education
wa,2011-2012,lower,HB 1666,Implementing the higher education funding task force recommendations.,2011-02-25 17:48:56.906000,2012-11-02 06:44:19.962000,bill,"Public Services|Education|Business and Consumers|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1667,Concerning state route number 522.,2011-02-25 17:48:56.910000,2012-11-02 06:44:19.968000,bill,Transportation
wa,2011-2012,lower,HB 1668,Concerning signature gathering.,2011-02-25 17:48:56.913000,2012-11-02 06:44:19.936000,bill,State Agencies|Other|Business and Consumers
wa,2011-2012,lower,HB 1669,Regarding the educational opportunity gap.,2011-02-25 17:48:56.918000,2012-11-02 06:44:19.944000,bill,Education
wa,2011-2012,lower,HB 1670,Addressing the regulation of self-insurance programs by the state risk manager.,2011-02-25 17:48:56.921000,2012-11-02 06:44:18.694000,bill,State Agencies|Insurance
wa,2011-2012,lower,HB 1671,Enacting the regulatory fairness act of 2011.,2011-02-25 17:48:56.933000,2012-11-02 06:44:18.690000,bill,State Agencies|Other
wa,2011-2012,lower,HB 1672,Doubling the small business tax credit to encourage small business job creation.,2011-02-25 17:48:56.939000,2012-10-18 06:58:40.872000,bill,"Business and Consumers|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1673,Concerning physical therapists.,2011-02-25 17:48:56.942000,2012-11-02 06:44:18.698000,bill,Health
wa,2011-2012,lower,HB 1674,Providing that the manufacturing innovation and modernization extension service program is not to sunset.,2011-02-25 17:48:56.945000,2012-11-02 06:44:18.711000,bill,
wa,2011-2012,lower,HB 1675,Requiring agencies to disclose the estimated costs of compliance with public records requests.,2011-02-25 17:48:56.948000,2012-11-02 06:44:18.704000,bill,Other
wa,2011-2012,lower,HB 1676,Addressing the abatement of violations of the Washington industrial safety and health act during an appeal.,2011-02-25 17:48:56.951000,2012-11-02 06:44:18.736000,bill,Labor and Employment|State Agencies
wa,2011-2012,lower,HB 1677,Changing the certified and registered mail requirements of the department of labor and industries and employment security department.,2011-02-25 17:48:56.954000,2012-11-02 06:44:18.724000,bill,Labor and Employment|State Agencies|Business and Consumers
wa,2011-2012,lower,HB 1678,Eliminating the cap on the total number of small loans a borrower may have in a twelve-month period.,2011-02-25 17:48:56.958000,2012-11-02 06:44:18.750000,bill,"Commerce|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1679,Limiting government liability for supervision of offenders.,2011-02-25 17:48:56.961000,2012-11-02 06:44:18.746000,bill,Crime|Civil Liberties and Civil Rights
wa,2011-2012,lower,HB 1680,Concerning child abuse investigations and proceedings.,2011-02-25 17:48:56.973000,2012-11-02 06:44:08.873000,bill,Health|Family and Children Issues|Civil Liberties and Civil Rights
wa,2011-2012,lower,HB 1681,Limiting employer liability under the doctrine of respondeat superior.,2011-02-25 17:48:56.976000,2012-10-18 06:58:32.932000,bill,Labor and Employment|State Agencies|Business and Consumers|Civil Liberties and Civil Rights
wa,2011-2012,lower,HB 1682,Providing a business and occupation tax credit for newly hired aerospace apprentices.,2011-02-25 17:48:56.979000,2012-11-02 06:44:08.880000,bill,"Labor and Employment|Business and Consumers|Technology and Communication|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1683,Establishing special license endorsements for cigar lounges and retail tobacconist shops.,2011-02-25 17:48:56.982000,2012-11-02 06:44:08.883000,bill,Drugs|Other|Business and Consumers
wa,2011-2012,lower,HB 1684,Regarding online financial education in public schools.,2011-02-25 17:48:56.985000,2012-11-02 06:44:08.887000,bill,Education
wa,2011-2012,lower,HB 1685,Regarding water well construction requirements.,2011-02-25 17:48:56.988000,2012-11-02 06:44:08.891000,bill,Environmental|Business and Consumers
wa,2011-2012,lower,HB 1686,Concerning long-term disability for injured workers and costs to the workers' compensation program.,2011-02-25 17:48:56.990000,2012-10-18 06:58:32.958000,bill,Labor and Employment|State Agencies
wa,2011-2012,lower,HB 1687,Improving transparency and providing greater information to property taxpayers.,2011-02-25 17:48:56.993000,2012-10-18 06:58:32.963000,bill,"Campaign Finance and Election Issues|Other|Budget, Spending, and Taxes"
wa,2011-2012,lower,HB 1688,Allowing the department of corrections to deport criminal illegal immigrant offenders serving a sentence.,2011-02-25 17:48:56.996000,2012-10-18 06:58:32.968000,bill,Crime
wa,2011-2012,lower,HB 1689,Allowing booking photographs and electronic images at jails to be open to the public.,2011-02-25 17:48:56.999000,2012-11-02 06:44:08.904000,bill,Crime
wa,2011-2012,lower,HB 1690,Requiring disclosure of nonoriginal repair parts.,2011-02-25 17:48:57.003000,2012-11-02 06:44:07.690000,bill,Transportation|Business and Consumers
wa,2011-2012,lower,HB 1691,Concerning embalmers.,2011-02-25 17:48:57.005000,2012-11-02 06:44:07.674000,bill,Other
wa,2011-2012,lower,HB 1692,Concerning manufactured/mobile home park rent adjustment.,2011-02-25 17:48:57.009000,2012-10-18 06:58:31.410000,bill,Commerce|State Agencies|Housing and Property
wa,2011-2012,lower,HB 1693,Addressing the health care coverage of retired local government employees.,2011-02-25 17:48:57.011000,2012-10-18 06:58:31.405000,bill,State Agencies|Health|Insurance
wa,2011-2012,lower,HB 1694,Regulating unauthorized insurance.,2011-02-25 17:48:57.013000,2012-11-02 06:44:07.755000,bill,Insurance
wa,2011-2012,lower,HB 1695,Modifying water-sewer district provisions.,2011-02-25 17:48:57.015000,2012-11-02 06:44:07.748000,bill,Environmental|Municipal and County Issues
wa,2011-2012,lower,HB 1696,Concerning provisions for notifications and appeals timelines under the shoreline management act.,2011-02-25 17:48:57.018000,2012-11-02 06:44:07.711000,bill,Environmental|State Agencies
wa,2011-2012,lower,HB 1697,Providing for unannounced visits to homes with dependent children.,2011-02-25 17:48:57.031000,2012-11-02 06:44:07.698000,bill,Public Services|Health|Family and Children Issues
wa,2011-2012,lower,HB 1698,Improving recreational fishing opportunities in Puget Sound and Lake Washington.,2011-02-25 17:48:57.037000,2012-11-02 06:44:07.787000,bill,Environmental|Animal Rights and Wildlife Issues
